SOC,Temp,R_Ch(T=283.15),R_Ch(T=298.15),R_Ch(T=313.15),R_Ch(T=333.15),R_DCh(T=283.15),R_DCh(298.15),R_DCh(313.15),R_DCh(333.15)
0.0,283.15,0.19170737899999998,0.19170737899999998,0.19170737899999998,0.19170737899999998,0.19170737899999998,0.19170737899999998,0.19170737899999998,0.19170737899999998
0.01,298.15,0.1881221,0.1881221,0.1881221,0.1881221,0.1881221,0.1881221,0.1881221,0.1881221
0.02,313.15,0.184454034,0.184454034,0.184454034,0.184454034,0.184454034,0.184454034,0.184454034,0.184454034
0.03,333.15,0.18072368100000002,0.18072368100000002,0.18072368100000002,0.18072368100000002,0.18072368100000002,0.18072368100000002,0.18072368100000002,0.18072368100000002
0.04,,0.176951537,0.176951537,0.176951537,0.176951537,0.176951537,0.176951537,0.176951537,0.176951537
0.05,,0.1731581,0.1731581,0.1731581,0.1731581,0.1731581,0.1731581,0.1731581,0.1731581
0.06,,0.16936386899999997,0.16936386899999997,0.16936386899999997,0.16936386899999997,0.16936386899999997,0.16936386899999997,0.16936386899999997,0.16936386899999997
0.07,,0.165589341,0.165589341,0.165589341,0.165589341,0.165589341,0.165589341,0.165589341,0.165589341
0.08,,0.161855014,0.161855014,0.161855014,0.161855014,0.161855014,0.161855014,0.161855014,0.161855014
0.09,,0.158181385,0.158181385,0.158181385,0.158181385,0.158181385,0.158181385,0.158181385,0.158181385
0.1,,0.154588954,0.154588954,0.154588954,0.154588954,0.154588954,0.154588954,0.154588954,0.154588954
0.11,,0.15109821699999998,0.15109821699999998,0.15109821699999998,0.15109821699999998,0.15109821699999998,0.15109821699999998,0.15109821699999998,0.15109821699999998
0.12,,0.147729672,0.147729672,0.147729672,0.147729672,0.147729672,0.147729672,0.147729672,0.147729672
0.13,,0.144503818,0.144503818,0.144503818,0.144503818,0.144503818,0.144503818,0.144503818,0.144503818
0.14,,0.141439021,0.141439021,0.141439021,0.141439021,0.141439021,0.141439021,0.141439021,0.141439021
0.15,,0.138539519,0.138539519,0.138539519,0.138539519,0.138539519,0.138539519,0.138539519,0.138539519
0.16,,0.135803796,0.135803796,0.135803796,0.135803796,0.135803796,0.135803796,0.135803796,0.135803796
0.17,,0.13323032099999998,0.13323032099999998,0.13323032099999998,0.13323032099999998,0.13323032099999998,0.13323032099999998,0.13323032099999998,0.13323032099999998
0.18,,0.130816151,0.130816151,0.130816151,0.130816151,0.130816151,0.130816151,0.130816151,0.130816151
0.19,,0.128553571,0.128553571,0.128553571,0.128553571,0.128553571,0.128553571,0.128553571,0.128553571
0.2,,0.126433863,0.126433863,0.126433863,0.126433863,0.126433863,0.126433863,0.126433863,0.126433863
0.21,,0.12444831099999999,0.12444831099999999,0.12444831099999999,0.12444831099999999,0.12444831099999999,0.12444831099999999,0.12444831099999999,0.12444831099999999
0.22,,0.12258861300000001,0.12258861300000001,0.12258861300000001,0.12258861300000001,0.12258861300000001,0.12258861300000001,0.12258861300000001,0.12258861300000001
0.23,,0.120847198,0.120847198,0.120847198,0.120847198,0.120847198,0.120847198,0.120847198,0.120847198
0.24,,0.11921657,0.11921657,0.11921657,0.11921657,0.11921657,0.11921657,0.11921657,0.11921657
0.25,,0.117689259,0.117689259,0.117689259,0.117689259,0.117689259,0.117689259,0.117689259,0.117689259
0.26,,0.116258344,0.116258344,0.116258344,0.116258344,0.116258344,0.116258344,0.116258344,0.116258344
0.27,,0.11491745,0.11491745,0.11491745,0.11491745,0.11491745,0.11491745,0.11491745,0.11491745
0.28,,0.113660224,0.113660224,0.113660224,0.113660224,0.113660224,0.113660224,0.113660224,0.113660224
0.29,,0.11248039900000001,0.11248039900000001,0.11248039900000001,0.11248039900000001,0.11248039900000001,0.11248039900000001,0.11248039900000001,0.11248039900000001
0.3,,0.111372525,0.111372525,0.111372525,0.111372525,0.111372525,0.111372525,0.111372525,0.111372525
0.31,,0.110331599,0.110331599,0.110331599,0.110331599,0.110331599,0.110331599,0.110331599,0.110331599
0.32,,0.109352619,0.109352619,0.109352619,0.109352619,0.109352619,0.109352619,0.109352619,0.109352619
0.33,,0.108430789,0.108430789,0.108430789,0.108430789,0.108430789,0.108430789,0.108430789,0.108430789
0.34,,0.107562245,0.107562245,0.107562245,0.107562245,0.107562245,0.107562245,0.107562245,0.107562245
0.35,,0.10674339099999999,0.10674339099999999,0.10674339099999999,0.10674339099999999,0.10674339099999999,0.10674339099999999,0.10674339099999999,0.10674339099999999
0.36,,0.10597063,0.10597063,0.10597063,0.10597063,0.10597063,0.10597063,0.10597063,0.10597063
0.37,,0.10524045900000001,0.10524045900000001,0.10524045900000001,0.10524045900000001,0.10524045900000001,0.10524045900000001,0.10524045900000001,0.10524045900000001
0.38,,0.104549591,0.104549591,0.104549591,0.104549591,0.104549591,0.104549591,0.104549591,0.104549591
0.39,,0.10389477300000001,0.10389477300000001,0.10389477300000001,0.10389477300000001,0.10389477300000001,0.10389477300000001,0.10389477300000001,0.10389477300000001
0.4,,0.103272763,0.103272763,0.103272763,0.103272763,0.103272763,0.103272763,0.103272763,0.103272763
0.41,,0.102680862,0.102680862,0.102680862,0.102680862,0.102680862,0.102680862,0.102680862,0.102680862
0.42,,0.102117065,0.102117065,0.102117065,0.102117065,0.102117065,0.102117065,0.102117065,0.102117065
0.43,,0.101579411,0.101579411,0.101579411,0.101579411,0.101579411,0.101579411,0.101579411,0.101579411
0.44,,0.101065978,0.101065978,0.101065978,0.101065978,0.101065978,0.101065978,0.101065978,0.101065978
0.45,,0.10057533199999999,0.10057533199999999,0.10057533199999999,0.10057533199999999,0.10057533199999999,0.10057533199999999,0.10057533199999999,0.10057533199999999
0.46,,0.100106393,0.100106393,0.100106393,0.100106393,0.100106393,0.100106393,0.100106393,0.100106393
0.47,,0.09965808599999999,0.09965808599999999,0.09965808599999999,0.09965808599999999,0.09965808599999999,0.09965808599999999,0.09965808599999999,0.09965808599999999
0.48,,0.099229347,0.099229347,0.099229347,0.099229347,0.099229347,0.099229347,0.099229347,0.099229347
0.49,,0.09881915,0.09881915,0.09881915,0.09881915,0.09881915,0.09881915,0.09881915,0.09881915
0.5,,0.098426488,0.098426488,0.098426488,0.098426488,0.098426488,0.098426488,0.098426488,0.098426488
0.51,,0.098050353,0.098050353,0.098050353,0.098050353,0.098050353,0.098050353,0.098050353,0.098050353
0.52,,0.097689902,0.097689902,0.097689902,0.097689902,0.097689902,0.097689902,0.097689902,0.097689902
0.53,,0.097344814,0.097344814,0.097344814,0.097344814,0.097344814,0.097344814,0.097344814,0.097344814
0.54,,0.097014876,0.097014876,0.097014876,0.097014876,0.097014876,0.097014876,0.097014876,0.097014876
0.55,,0.096699874,0.096699874,0.096699874,0.096699874,0.096699874,0.096699874,0.096699874,0.096699874
0.56,,0.096399712,0.096399712,0.096399712,0.096399712,0.096399712,0.096399712,0.096399712,0.096399712
0.57,,0.096114486,0.096114486,0.096114486,0.096114486,0.096114486,0.096114486,0.096114486,0.096114486
0.58,,0.09584431199999999,0.09584431199999999,0.09584431199999999,0.09584431199999999,0.09584431199999999,0.09584431199999999,0.09584431199999999,0.09584431199999999
0.59,,0.095589304,0.095589304,0.095589304,0.095589304,0.095589304,0.095589304,0.095589304,0.095589304
0.6,,0.095349492,0.095349492,0.095349492,0.095349492,0.095349492,0.095349492,0.095349492,0.095349492
0.61,,0.095124834,0.095124834,0.095124834,0.095124834,0.095124834,0.095124834,0.095124834,0.095124834
0.62,,0.094915283,0.094915283,0.094915283,0.094915283,0.094915283,0.094915283,0.094915283,0.094915283
0.63,,0.094720779,0.094720779,0.094720779,0.094720779,0.094720779,0.094720779,0.094720779,0.094720779
0.64,,0.09454114300000001,0.09454114300000001,0.09454114300000001,0.09454114300000001,0.09454114300000001,0.09454114300000001,0.09454114300000001,0.09454114300000001
0.65,,0.094376136,0.094376136,0.094376136,0.094376136,0.094376136,0.094376136,0.094376136,0.094376136
0.66,,0.09422551900000001,0.09422551900000001,0.09422551900000001,0.09422551900000001,0.09422551900000001,0.09422551900000001,0.09422551900000001,0.09422551900000001
0.67,,0.09408902300000001,0.09408902300000001,0.09408902300000001,0.09408902300000001,0.09408902300000001,0.09408902300000001,0.09408902300000001,0.09408902300000001
0.68,,0.09396624699999999,0.09396624699999999,0.09396624699999999,0.09396624699999999,0.09396624699999999,0.09396624699999999,0.09396624699999999,0.09396624699999999
0.69,,0.09385675800000001,0.09385675800000001,0.09385675800000001,0.09385675800000001,0.09385675800000001,0.09385675800000001,0.09385675800000001,0.09385675800000001
0.7,,0.093760123,0.093760123,0.093760123,0.093760123,0.093760123,0.093760123,0.093760123,0.093760123
0.71,,0.09367589,0.09367589,0.09367589,0.09367589,0.09367589,0.09367589,0.09367589,0.09367589
0.72,,0.093603572,0.093603572,0.093603572,0.093603572,0.093603572,0.093603572,0.093603572,0.093603572
0.73,,0.09354267699999999,0.09354267699999999,0.09354267699999999,0.09354267699999999,0.09354267699999999,0.09354267699999999,0.09354267699999999,0.09354267699999999
0.74,,0.09349271,0.09349271,0.09349271,0.09349271,0.09349271,0.09349271,0.09349271,0.09349271
0.75,,0.09345313400000001,0.09345313400000001,0.09345313400000001,0.09345313400000001,0.09345313400000001,0.09345313400000001,0.09345313400000001,0.09345313400000001
0.76,,0.093423353,0.093423353,0.093423353,0.093423353,0.093423353,0.093423353,0.093423353,0.093423353
0.77,,0.093402772,0.093402772,0.093402772,0.093402772,0.093402772,0.093402772,0.093402772,0.093402772
0.78,,0.093390791,0.093390791,0.093390791,0.093390791,0.093390791,0.093390791,0.093390791,0.093390791
0.79,,0.09338675800000001,0.09338675800000001,0.09338675800000001,0.09338675800000001,0.09338675800000001,0.09338675800000001,0.09338675800000001,0.09338675800000001
0.8,,0.09338999199999999,0.09338999199999999,0.09338999199999999,0.09338999199999999,0.09338999199999999,0.09338999199999999,0.09338999199999999,0.09338999199999999
0.81,,0.093399808,0.093399808,0.093399808,0.093399808,0.093399808,0.093399808,0.093399808,0.093399808
0.82,,0.093415519,0.093415519,0.093415519,0.093415519,0.093415519,0.093415519,0.093415519,0.093415519
0.83,,0.093436423,0.093436423,0.093436423,0.093436423,0.093436423,0.093436423,0.093436423,0.093436423
0.84,,0.093461809,0.093461809,0.093461809,0.093461809,0.093461809,0.093461809,0.093461809,0.093461809
0.85,,0.09349096800000001,0.09349096800000001,0.09349096800000001,0.09349096800000001,0.09349096800000001,0.09349096800000001,0.09349096800000001,0.09349096800000001
0.86,,0.093523281,0.093523281,0.093523281,0.093523281,0.093523281,0.093523281,0.093523281,0.093523281
0.87,,0.093558395,0.093558395,0.093558395,0.093558395,0.093558395,0.093558395,0.093558395,0.093558395
0.88,,0.09359600900000001,0.09359600900000001,0.09359600900000001,0.09359600900000001,0.09359600900000001,0.09359600900000001,0.09359600900000001,0.09359600900000001
0.89,,0.09363582,0.09363582,0.09363582,0.09363582,0.09363582,0.09363582,0.09363582,0.09363582
0.9,,0.09367753599999999,0.09367753599999999,0.09367753599999999,0.09367753599999999,0.09367753599999999,0.09367753599999999,0.09367753599999999,0.09367753599999999
0.91,,0.093720875,0.093720875,0.093720875,0.093720875,0.093720875,0.093720875,0.093720875,0.093720875
0.92,,0.09376556,0.09376556,0.09376556,0.09376556,0.09376556,0.09376556,0.09376556,0.09376556
0.93,,0.09381131,0.09381131,0.09381131,0.09381131,0.09381131,0.09381131,0.09381131,0.09381131
0.94,,0.093857847,0.093857847,0.093857847,0.093857847,0.093857847,0.093857847,0.093857847,0.093857847
0.95,,0.09390489199999999,0.09390489199999999,0.09390489199999999,0.09390489199999999,0.09390489199999999,0.09390489199999999,0.09390489199999999,0.09390489199999999
0.96,,0.093952165,0.093952165,0.093952165,0.093952165,0.093952165,0.093952165,0.093952165,0.093952165
0.97,,0.093999388,0.093999388,0.093999388,0.093999388,0.093999388,0.093999388,0.093999388,0.093999388
0.98,,0.094046281,0.094046281,0.094046281,0.094046281,0.094046281,0.094046281,0.094046281,0.094046281
0.99,,0.094092566,0.094092566,0.094092566,0.094092566,0.094092566,0.094092566,0.094092566,0.094092566
1.0,,0.094137964,0.094137964,0.094137964,0.094137964,0.094137964,0.094137964,0.094137964,0.094137964
